Title,Story
"Severe bleeding: First aid - Mayo Clinic
","For severe bleeding, take these actions immediately: Stop the bleeding. Place a sterile bandage or clean cloth on the wound. Press the bandage firmly with your palm to control bleeding. Maintain pressure by binding the wound tightly with a bandage or a piece of clean cloth. Secure with adhesive tape. Use your hands if nothing else is available. Raise the injured part above the level of the heart. Special cases: Don't remove the gauze or bandage. If the bleeding seeps through the gauze or other cloth on the wound, add another bandage on top of it. And keep pressing firmly on the area. Tourniquets: A tourniquet is effective in controlling life-threatening bleeding from a limb. Apply a tourniquet if you're trained in how to do so. When emergency help arrives, explain how long the tourniquet has been in place. Immobilize the injured body part once the bleeding has stopped. Leave the bandages in place and get the injured person to the emergency room as soon as possible. Call 911 or your local emergency number if the bleeding is the result of major trauma or injury. Also call for emergency help if you suspect internal bleeding. Signs of internal bleeding include: Remove any obvious dirt or debris from the wound. Don't remove large or deeply embedded objects. Don't probe the wound or attempt to clean it yet. Your first job is to stop the bleeding. Wear disposable protective gloves if available. 
Stop the bleeding. Place a sterile bandage or clean cloth on the wound. Press the bandage firmly with your palm to control bleeding. Maintain pressure by binding the wound tightly with a bandage or a piece of clean cloth. Secure with adhesive tape. Use your hands if nothing else is available.
Raise the injured part above the level of the heart.
Special cases:

Don't put direct pressure on an eye injury or embedded object.
Don't reposition or put pressure on displaced organs. Cover the wound with a clean dressing.

 Don't put direct pressure on an eye injury or embedded object. Don't reposition or put pressure on displaced organs. Cover the wound with a clean dressing. Help the injured person lie down, preferably on a rug or blanket to prevent loss of body heat. If possible, elevate the legs. 
Don't remove the gauze or bandage. If the bleeding seeps through the gauze or other cloth on the wound, add another bandage on top of it. And keep pressing firmly on the area.
Tourniquets: A tourniquet is effective in controlling life-threatening bleeding from a limb. Apply a tourniquet if you're trained in how to do so. When emergency help arrives, explain how long the tourniquet has been in place.
 
Immobilize the injured body part once the bleeding has stopped. Leave the bandages in place and get the injured person to the emergency room as soon as possible.
Call 911 or your local emergency number if the bleeding is the result of major trauma or injury. Also call for emergency help if you suspect internal bleeding. Signs of internal bleeding include:

Bleeding from a body opening, such as the ear, mouth, nose or anus
Vomiting or coughing up blood
Bruising
A tender or swollen stomach
Cold, clammy skin
Thirst
Fractures
Shock, indicated by a rapid, weak pulse, pallor, sweating, rapid breathing and decreased alertness

 Bleeding from a body opening, such as the ear, mouth, nose or anus Vomiting or coughing up blood Bruising A tender or swollen stomach Cold, clammy skin Thirst Fractures Shock, indicated by a rapid, weak pulse, pallor, sweating, rapid breathing and decreased alertness Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York: Random House; 2009. Quinn RH, et al. Wilderness Medical Society practice guidelines for basic wound management in the austere environment. Wilderness & Environmental Medicine. In press. Accessed July 17, 2014. Piazza GM, et al. First Aid Manual. 3rd ed. London, England; New York, N.Y.: DK Publishing; 2009. Auerbach PS. Wilderness Medicine. 6th ed. Philadelphia, PA: Elsevier Mosby; 2012. "
"Shock: First aid - Mayo Clinic
","Shock may result from trauma, heatstroke, blood loss, an allergic reaction, severe infection, poisoning, severe burns or other causes. When a person is in shock, his or her organs aren't getting enough blood or oxygen. If untreated, this can lead to permanent organ damage or even death. Signs and symptoms of shock vary depending on circumstances and may include: If you suspect a person is in shock, call 911 or your local emergency number. Then immediately take the following steps: Cool, clammy skin Pale or ashen skin Rapid pulse Rapid breathing Nausea or vomiting Enlarged pupils Weakness or fatigue Dizziness or fainting Changes in mental status or behavior, such as anxiousness or agitation Lay the person down and elevate the legs and feet slightly, unless you think this may cause pain or further injury. Keep the person still and don't move him or her unless necessary. Begin CPR if the person shows no signs of life, such as breathing, coughing or movement. Loosen tight clothing and, if needed, cover the person with a blanket to prevent chilling. Don't let the person eat or drink anything. If the person vomits or begins bleeding from the mouth, turn him or her onto a side to prevent choking, unless you suspect a spinal injury. "
"Snakebites: First aid - Mayo Clinic
","Most North American snakes aren't dangerous to humans. Some exceptions include the rattlesnake, coral snake, water moccasin and copperhead. Their bites can be life-threatening. If you are bitten by a venomous snake, call 911 or your local emergency number immediately, especially if the area changes color, begins to swell or is painful. Many hospitals stock antivenom drugs, which may help you. If possible, take these steps while waiting for medical help: Of the venomous snakes found in North America, all but the coral snake have slit-like eyes and are known as pit vipers. Their heads are triangular, with a depression (pit) midway between the eye and nostril on either side of the head. Other characteristics are unique to certain venomous snakes: Remain calm and move beyond the snake's striking distance. Remove jewelry and tight clothing before you start to swell. Position yourself, if possible, so that the bite is at or below the level of your heart. Clean the wound, but don't flush it with water. Cover it with a clean, dry dressing. Don't use a tourniquet or apply ice. Don't cut the wound or attempt to remove the venom. Don't drink caffeine or alcohol, which could speed the rate at which your body absorbs venom. Don't try to capture the snake. Try to remember its color and shape so that you can describe it, which will help in your treatment. Rattlesnakes rattle by shaking the rings at the end of their tails. Water moccasins' mouths have a white, cottony lining. Coral snakes have red, yellow and black rings along the length of their bodies. Subbarao I, et al., eds. Animal and insect bites. In: American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. "
"Spider bites: First aid - Mayo Clinic
","Most spider bites cause only minor injury. A few spiders can be dangerous. In the United States, these include the black widow spider and the brown recluse spider. To take care of a spider bite: Seek prompt medical attention in the following situations: Your doctor may recommend a tetanus booster shot if you haven't had one in the last five years. You can usually identify a black widow spider by the hourglass marking on its belly. The bite feels like a pinprick. You may not even know you've been bitten. In the United States, this spider is more common in the south. Signs and symptoms of a black widow spider bite may include: The brown recluse spider has a violin-shaped marking on its back, but this mark can be hard to see. In the United States, its range is central and southern states. Signs and symptoms of a brown recluse spider bite vary but may include: Clean the wound. Use mild soap and water and apply an antibiotic ointment. Apply a cool compress. Use a cloth dampened with cold water or filled with ice. This helps reduce pain and swelling. If the bite is on an arm or leg, elevate it. Use over-the-counter medications. Try a pain reliever, such as acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others), or an antihistamine (Benadryl, Chlor-Trimeton, others). You are unsure whether the bite was from a poisonous spider. The person who was bitten experiences severe pain, abdominal cramping or a growing ulcer at the bite site. The person who was bitten isn't breathing. At first, slight swelling and faint red marks Intense pain and stiffness Severe abdominal pain or cramping Excessive sweating At first, a mild stinging Redness and intense pain, within eight hours A deep blue or purple area around the bite, which may develop a red ring around it Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. Juckett G. Arthropod bites. American Family Physician. 2013;88:841. Swanson DL, et al. Bites of brown recluse spiders and suspected necrotic arachnidism. New England Journal of Medicine. 2005;352:700. Claypool DW. (expert opinion). Mayo Clinic, Rochester, Minn. Nov. 24, 2014. "
"Spinal injury: First aid - Mayo Clinic
","If you suspect a back or neck (spinal) injury, do not move the affected person. Permanent paralysis and other serious complications can result. Assume a person has a spinal injury if: There's evidence of a head injury with an ongoing change in the person's level of consciousness The person complains of severe pain in his or her neck or back The person won't move his or her neck An injury has exerted substantial force on the back or head The person complains of weakness, numbness or paralysis or lacks control of his or her limbs, bladder or bowels The neck or back is twisted or positioned oddly Get help. Call 911 or emergency medical help. Keep the person still. Place heavy towels on both sides of the neck or hold the head and neck to prevent movement. Modify CPR technique. If the person shows no signs of circulation (breathing, coughing or movement), begin CPR, but do not tilt the head back to open the airway. Use your fingers to gently grasp the jaw and lift it forward. If the person has no pulse, begin chest compressions. Keep helmet on. If the person is wearing a helmet, don't remove it. Don't roll alone. If you must roll the person because he or she is vomiting, choking on blood or in danger of further injury, you need at least one other person. With one of you at the head and another along the side of the injured person, work together to keep the person's head, neck and back aligned while rolling the person onto one side. "
"Sprain: First aid - Mayo Clinic
","Your ligaments are tough, elastic-like bands that connect bone to bone and hold your joints in place. A sprain is an injury to a ligament caused by tearing of the fibers of the ligament. The ligament can have a partial tear, or it can be completely torn apart. Of all sprains, ankle and knee sprains occur most often. Sprained ligaments often swell rapidly and are painful. Generally, the greater the pain and swelling, the more severe the injury is. For most minor sprains, you probably can start initial injury treatment yourself. As the pain and swelling improve, gently begin using the injured area. You should feel a gradual, progressive improvement. Over-the-counter pain relievers, such as ibuprofen (Advil, Motrin IB, others) and acetaminophen (Tylenol, others), may be helpful to manage pain during the healing process. It's essential to restore strength and stability to the injured limb prior to a return to sports or fitness activities. A physical therapist or other sports medicine provider can provide you with the appropriate strength and stability exercises to optimize healing and minimize the risk of repeat injury. See your doctor if your sprain isn't improving after two or three days. Rest the injured limb. Your doctor may recommend not putting any weight on the injured area for 48 hours, so you may need to use crutches. A splint or brace may also be helpful initially. But don't avoid all activity. Even with an ankle sprain, you can usually still exercise other muscles to minimize deconditioning. For example, you can use an exercise bicycle with arm exercise handles, working both your arms and the uninjured leg while resting the injured ankle on another part of the bike. That way you still get three-limb exercise to keep up your cardiovascular conditioning. Ice the area. Use a cold pack, a slush bath or a compression sleeve filled with cold water to help limit swelling after an injury. Try to ice the area as soon as possible after the injury and continue to ice it for 15 to 20 minutes, four to eight times a day, for the first 48 hours or until swelling improves. If you use ice, be careful not to use it too long, as this could cause tissue damage. Compress the area with an elastic wrap or bandage. Compressive wraps or sleeves made from elastic or neoprene are best. Elevate the injured limb above your heart whenever possible to help prevent or limit swelling. You're unable to bear weight on the injured leg, the joint feels unstable or numb, or you can't use the joint. This may mean the ligament was completely torn. On the way to the doctor, apply a cold pack. You develop redness or red streaks that spread out from the injured area. This may mean you have an infection. You have re-injured an area that has been injured a number of times in the past. You have a severe sprain. Inadequate or delayed treatment may contribute to long-term joint instability or chronic pain. "
"Stroke: First aid - Mayo Clinic
","A stroke occurs when there's bleeding into your brain or when normal blood flow to your brain is blocked. Within minutes of being deprived of essential nutrients, brain cells start dying  a process that may continue over the next several hours. Seek immediate medical assistance. A stroke is a true emergency. The sooner treatment is given, the more likely it is that damage can be minimized. Every moment counts. In the event of a possible stroke, use FAST to help remember warning signs. Other signs and symptoms of a stroke include: Risk factors for stroke include having high blood pressure, having had a previous stroke, smoking, having diabetes and having heart disease. Your risk of stroke increases as you age. Face. Does the face droop on one side while trying to smile? Arms. Is one arm lower when trying to raise both arms? Speech. Can a simple sentence be repeated? Is speech slurred or strange? Time. During a stroke every minute counts. If you observe any of these signs, call 911 or your local emergency number immediately. Weakness or numbness on one side of the body, including either leg Dimness, blurring or loss of vision, particularly in one eye Severe headache  a bolt out of the blue  with no apparent cause Unexplained dizziness, unsteadiness or a sudden fall, especially if accompanied by any of the other signs or symptoms Jauch EC, et al. Guidelines for the early management of patients with acute ischemic stroke. Stroke. 2013;44:870. "
"Sunburn: First aid - Mayo Clinic
","Signs and symptoms of sunburn usually appear within a few hours of exposure, bringing pain, redness, swelling and, in some cases, blistering. Because a sunburn may affect much of your skin, you may also experience a headache, a fever and nausea. See your doctor if you develop large blisters. Large blisters are best removed, as they rarely will remain intact on their own. Also seek medical help if you experience immediate complications, such as extreme pain, headache, confusion, nausea or chills. Take a cool bath or shower, which may be soothing. Or apply a clean towel dampened with cool tap water. Apply moisturizer, aloe vera lotion or gel, or low-dose hydrocortisone cream, which may provide relief in some cases. Don't break small blisters (no bigger than your little fingernail). If blisters break, gently clean the area with mild soap and water, apply an antibiotic ointment, and cover it with a nonstick gauze bandage. If needed, take an over-the-counter pain reliever such as ibuprofen (Advil, Motrin IB, others), naproxen sodium (Aleve) or acetaminophen (Tylenol, others). AskMayoExpert. Sunburn (adult and pediatric). Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2013. Murphy F, et al. Treatment for burn blisters: Debride or leave intact? Emergency Nurse. 2014;22:24. Wilkinson JM (expert opinion). Mayo Clinic, Rochester, Minn. Dec 16, 2014. "
"Tick bites: First aid - Mayo Clinic
","Most tick bites cause only minor injury. But some ticks may transmit bacteria that cause illnesses, such as Lyme disease or Rocky Mountain spotted fever. Call 911 or your local emergency number if you develop: If possible, bring the tick with you to your doctor's appointment. Remove the tick promptly and carefully. Use tweezers to grasp the tick near its head or mouth and pull gently to remove the whole tick without crushing it. Other methods  such as applying petroleum jelly, fingernail polish, rubbing alcohol or a hot match  aren't recommended. If possible, seal the tick in a container. Put the container in a freezer. Your doctor may want to see the tick if you develop signs or symptoms of illness after a tick bite. Wash your hands with soap and water. Also wash the area around the tick bite. A severe headache Difficulty breathing Paralysis Heart palpitations You aren't able to completely remove the tick. The longer the tick remains attached to your skin, the greater your risk of getting a disease from it. The rash gets bigger. A small red bump may appear at the site of the tick bite. This is normal. But if it develops into a larger rash, perhaps with a bull's-eye pattern, it may indicate Lyme disease. Also consult your doctor if signs and symptoms disappear because you may still be at risk of the disease. Your risk of contracting a disease from a tick bite depends on where you live or travel to, how much time you spend outside in woody and grassy areas, and how well you protect yourself. You develop flu-like signs and symptoms. Fever, chills, fatigue, body aches and a headache may accompany the rash. You think the bite site is infected. Signs and symptoms include redness or oozing. Millman M, ed., et al. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. "
"Tooth loss: First aid - Mayo Clinic
","It's sometimes possible to successfully implant permanent teeth that have been knocked out, but only if you follow the steps below immediately  before you see a dentist. Baby teeth (primary teeth) are not implanted if they're knocked out.  For permanent teeth, if a sharp surface or shiny surface is apparent, there's a chance that part of the root is still in the socket, and reimplantation becomes less successful. If reimplantation does not occur within two hours after the tooth is knocked out, the likelihood of success becomes poor  so it's vital to get emergency dental care. Handle your tooth by the top or crown only  do not touch the roots. Inspect the crown and root to determine if any portion of either appears to be missing or fractured. Don't rub the tooth or scrape it to remove debris. This damages the root surface, making the tooth less likely to survive. If your tooth has dirt or foreign material on it, gently rinse your tooth briefly  no more than 10 seconds  in a bowl of lukewarm tap water to remove the debris. Don't hold it under running water, because too much pure water could kill the cells on the root surface that help reattach the tooth. Try to put your tooth back in the socket. If it doesn't go all the way into place, bite down slowly and gently on gauze or a moistened paper towel to help keep it in place. Hold the tooth in place until you see your dentist. If you can't put your tooth back in the socket, immediately place it between your cheek and gum, or in some milk, your own saliva or a warm, mild saltwater solution  1/4 teaspoon salt to 1 quart water. Or use an over-the-counter product that preserves a knocked-out tooth, such as those approved by the American Dental Association, if you have quick access to it. Get emergency dental care. If your dentist's office is not open, go to the emergency room. Sheridan PJ (expert opinion). Mayo Clinic, Rochester, Minn. Nov. 5, 2014. Salinas TJ (expert opinion). Mayo Clinic, Rochester, Minn. Nov. 6, 2014 "
"Toothache: First aid - Mayo Clinic
","Tooth decay is the primary cause of toothaches for most children and adults. Bacteria that live in your mouth thrive on the sugars and starches in the food you eat. These bacteria form a sticky plaque that clings to the surface of your teeth. Acids produced by the bacteria in plaque can eat through the hard, white coating on the outside of your teeth (enamel), creating a cavity. The first sign of decay may be a sensation of pain when you eat something sweet, very cold or very hot. Other causes of toothache can include: A toothache often requires some sort of treatment by your dentist. Until you can see your dentist, try these self-care tips for a toothache: Benzocaine has been linked to a rare but serious, sometimes deadly, condition called methemoglobinemia, which decreases the amount of oxygen that the blood can carry. So follow these guidelines: Call your dentist immediately if you have any of the following with a toothache: An accumulation of food and debris between your teeth, especially if teeth have spacing between them Infection at the root of the tooth or in the gums Trauma to the tooth, including injury or grinding your teeth Sudden fracture of the tooth or tooth root A split in the tooth that occurs over time Tooth eruption through the gums (teething) Sinus infection that can be felt as pain in the teeth Rinse your mouth with warm water. Use dental floss to remove any food particles or plaque wedged between your teeth. Take an over-the-counter (OTC) pain reliever to dull the ache, but don't place aspirin or another painkiller directly against your gums because it may burn your gum tissue. Sparingly apply an OTC antiseptic containing benzocaine directly to the irritated tooth and gum for temporary relief. Apply oil of cloves (eugenol) on a small piece of cotton directly to the sore tooth and gum to numb the area. If the toothache is caused by trauma to the tooth, apply a cold compress to the outside of your cheek. Talk to your health care provider about using an OTC antiseptic containing benzocaine. Don't use benzocaine in children younger than age 2 without supervision from a health care professional. Never use more than the recommended dose of benzocaine. Store products containing benzocaine out of the reach of children. Pain that persists for more than a day or two Fever Signs and symptoms of infection, such as swelling, pain when you bite, red gums or a foul-tasting discharge Trouble breathing or swallowing Hoecker JL (expert opinion). Mayo Clinic, Rochester, Minn. Oct. 14, 2014. Salinas TJ (expert opinion). Mayo Clinic, Rochester, Minn. Oct. 30, 2014. "
